id,date,price
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-22,93.99
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-21,93.7
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-20,94.56
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-19,96.11
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-18,95.95
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-15,95.55
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-14,95.2
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-13,93.04
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-12,93.58
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-11,91.97
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-08,91.85
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-07,91.16
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-06,91.79
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-05,91.25
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-04,90.42
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-01,89.98
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-31,87.29
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-30,86.62
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-29,86.37
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-25,85.42
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-24,84.07
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-23,83.94
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-22,84.7
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-21,85.44
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-18,85.92
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-17,85.24
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-16,84.49
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-15,86.28
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-14,87.4
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-11,87.93
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-10,87.44
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-09,89.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-08,88.0
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-07,86.47
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-04,87.38
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-03,86.19
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-02,84.01
Europe Brent Spot Price FOB (Dollars per Barrel),2023-08-01,85.34
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-31,85.22
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-28,84.49
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-27,84.28
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-26,82.98
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-25,83.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-24,82.53
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-21,81.06
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-20,79.62
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-19,79.38
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-18,79.54
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-17,77.8
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-14,79.9
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-13,81.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-12,80.35
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-11,79.54
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-10,77.83
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-07,78.77
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-06,76.72
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-05,76.74
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-04,76.23
Europe Brent Spot Price FOB (Dollars per Barrel),2023-07-03,74.52
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-30,74.51
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-29,73.86
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-28,73.64
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-27,71.88
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-26,73.86
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-23,73.56
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-22,73.93
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-21,76.92
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-20,75.79
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-19,76.09
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-16,76.76
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-15,75.75
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-14,73.39
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-13,74.24
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-12,71.8
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-09,74.74
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-08,75.88
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-07,76.85
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-06,76.22
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-05,76.61
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-02,76.0
Europe Brent Spot Price FOB (Dollars per Barrel),2023-06-01,74.18
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-31,71.98
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-30,73.38
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-26,76.33
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-25,75.66
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-24,77.99
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-23,76.66
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-22,75.77
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-19,75.42
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-18,75.75
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-17,76.98
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-16,75.15
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-15,75.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-12,74.54
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-11,75.32
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-10,76.7
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-09,77.76
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-05,75.85
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-04,73.0
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-03,72.91
Europe Brent Spot Price FOB (Dollars per Barrel),2023-05-02,76.71
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-28,81.32
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-27,80.11
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-26,79.19
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-25,82.13
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-24,84.23
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-21,83.36
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-20,83.29
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-19,85.34
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-18,85.48
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-17,85.63
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-14,87.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-13,86.51
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-12,88.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-11,87.32
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-06,86.56
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-05,85.89
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-04,85.7
Europe Brent Spot Price FOB (Dollars per Barrel),2023-04-03,85.81
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-31,79.19
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-30,78.45
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-29,77.51
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-28,78.07
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-27,76.8
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-24,73.63
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-23,74.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-22,76.08
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-21,74.78
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-20,72.42
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-17,71.03
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-16,73.12
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-15,74.3
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-14,76.77
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-13,79.67
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-10,82.3
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-09,81.0
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-08,82.1
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-06,85.86
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-03,85.74
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-02,84.15
Europe Brent Spot Price FOB (Dollars per Barrel),2023-03-01,83.68
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-28,83.21
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-27,81.24
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-24,82.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-23,82.08
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-22,79.55
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-21,82.14
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-20,82.79
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-17,81.97
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-16,83.84
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-15,84.11
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-14,84.96
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-13,85.98
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-10,85.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-09,83.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-08,84.17
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-07,82.92
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-06,80.48
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-03,78.85
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-02,80.57
Europe Brent Spot Price FOB (Dollars per Barrel),2023-02-01,81.61
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-31,83.42
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-30,84.9
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-27,85.36
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-26,86.29
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-25,85.08
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-24,85.25
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-23,87.54
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-20,86.96
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-19,85.08
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-18,83.78
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-17,84.38
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-16,82.65
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-13,83.43
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-12,82.59
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-11,81.11
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-10,78.4
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-09,77.5
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-06,76.41
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-05,76.73
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-04,75.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-01-03,80.36
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-30,82.82
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-29,80.96
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-28,81.7
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-23,82.45
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-22,79.58
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-21,80.25
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-20,79.45
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-19,81.66
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-16,80.2
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-15,82.34
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-14,83.33
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-12,78.0
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-09,76.37
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-08,76.02
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-07,77.11
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-06,79.92
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-05,83.36
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-02,86.54
Europe Brent Spot Price FOB (Dollars per Barrel),2022-12-01,86.28
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-30,85.61
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-29,83.22
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-28,83.5
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-25,83.4
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-24,85.59
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-23,85.9
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-22,88.65
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-21,88.44
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-18,88.93
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-17,91.0
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-16,92.61
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-15,94.3
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-14,93.59
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-11,96.37
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-10,94.25
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-09,93.05
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-08,96.85
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-07,99.87
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-04,99.53
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-03,95.29
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-02,96.07
Europe Brent Spot Price FOB (Dollars per Barrel),2022-11-01,95.12
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-31,93.3
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-28,94.64
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-27,94.17
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-26,92.93
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-24,91.57
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-21,91.82
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-20,91.52
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-19,91.34
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-18,89.46
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-17,91.04
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-14,92.22
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-13,95.16
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-12,93.44
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-11,95.17
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-10,97.13
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-07,98.88
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-06,95.65
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-05,94.35
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-04,93.74
Europe Brent Spot Price FOB (Dollars per Barrel),2022-10-03,90.68
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-30,88.9
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-29,89.41
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-28,89.55
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-27,85.97
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-26,82.55
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-23,84.29
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-22,90.4
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-21,89.86
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-20,89.62
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-16,89.43
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-15,89.28
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-14,92.83
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-13,92.04
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-12,93.45
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-09,91.68
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-08,87.99
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-07,86.83
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-06,91.43
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-05,94.22
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-02,93.09
Europe Brent Spot Price FOB (Dollars per Barrel),2022-09-01,92.24
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-31,96.55
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-30,99.34
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-26,101.13
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-25,98.81
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-24,99.87
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-23,99.49
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-22,95.06
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-19,96.45
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-18,96.35
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-17,97.22
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-16,95.36
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-15,98.25
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-12,103.7
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-11,107.19
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-10,105.06
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-09,103.81
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-08,103.46
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-05,100.31
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-04,97.99
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-03,101.82
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-02,106.51
Europe Brent Spot Price FOB (Dollars per Barrel),2022-08-01,106.09
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-29,111.51
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-28,109.68
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-27,109.64
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-26,107.32
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-25,108.23
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-22,106.77
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-21,112.81
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-20,115.86
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-19,114.96
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-18,117.27
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-15,112.26
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-14,107.74
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-13,107.17
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-12,106.98
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-11,114.85
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-08,113.95
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-07,113.4
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-06,108.54
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-05,110.49
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-04,121.8
Europe Brent Spot Price FOB (Dollars per Barrel),2022-07-01,119.21
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-30,119.78
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-29,120.8
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-28,122.21
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-27,119.69
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-24,117.36
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-23,114.5
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-22,115.54
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-21,118.51
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-20,118.25
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-17,119.22
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-16,125.78
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-15,124.96
Europe Brent Spot Price FOB (Dollars per Barrel),2022-06-14,127.02
